name,type,category,phone,email,address,latitude,longitude,isActive
City General Hospital,hospital,emergency,+919876543210,citygeneral@hospital.com,123 Healthcare Avenue Hyderabad,17.385044,78.486671,true
Central Police Station,police,emergency,+919876543211,central@police.gov.in,45 Law Street Hyderabad,17.441456,78.391928,true
Rapid Response Ambulance,ambulance,emergency,+919876543212,rapid@ambulance.com,78 Emergency Road Hyderabad,17.361629,78.474387,true
City Fire Station,fire,emergency,+919876543213,fire@emergency.gov.in,92 Fire Brigade Lane Hyderabad,17.415616,78.435759,true
MedPlus Pharmacy,pharmacy,routine,+919876543214,medplus@pharmacy.com,156 Health Street Hyderabad,17.373639,78.524195,true
PetCare Veterinary Hospital,veterinary,urgent,+919876543215,care@petvet.com,234 Animal Care Road Hyderabad,17.451384,78.381681,true
Apollo Emergency Hospital,hospital,emergency,+919876543216,apollo@healthcare.com,567 Medical Complex Hyderabad,17.420847,78.450214,true
East Zone Police Station,police,emergency,+919876543217,east@police.gov.in,89 Safety Street Hyderabad,17.385371,78.557321,true
Life Support Ambulance Services,ambulance,emergency,+919876543218,life@ambulance.com,321 Quick Response Road Hyderabad,17.437853,78.445672,true
24/7 MedCare Pharmacy,pharmacy,urgent,+919876543219,medcare@pharmacy.com,432 Healthcare Plaza Hyderabad,17.408123,78.489456,true
